"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"93RH8X9M","journalArticle","2016","Douay, Nicolas","La numérisation des dispositifs de participation de la Mairie de Paris. Le cas du budget participatif et de la plateforme «Madame la Maire, j’ai une idée!»","Netcom. Réseaux, communication et territoires","","","","https://netcom.revues.org/2542","","2016","2017-05-10 08:30:26","2017-05-10 08:30:26","2017-05-10 07:53:40","249–280","","30-3/4","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\286J3JEG\2542.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UDM6I266","webpage","2016","","Sécurisons les votes électroniques grâce à la « blockchain »","lesechos.fr","","","","https://www.lesechos.fr/31/10/2016/lesechos.fr/0211442026292_securisons-les-votes-electroniques-grace-a-la---blockchain--.htm","LE CERCLE/POINT DE VUE - Les Américains, qui éliront un nouveau président le 8 novembre, votent pour beaucoup de manière électronique. Et si la �...","2016-10-31","2017-05-10 08:30:28","2017-05-10 08:30:28","2017-05-10 08:16:05","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\94HVH25X\0211442026292_securisons-les-votes-electroniques-grace-a-la---blockchain--.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J76W5QTA","webpage","","","[Évènement] Civic Tech et Innovations Démocratiques","Démocratie Ouverte","","","","http://democratieouverte.org/blog/evenement-civic-tech-et-innovations-democratiques","Le 8 juin dernier, La 27e R&eacute;gion et D&eacute;mocratie Ouverte tentaient un &eacute;tat des lieux des nouvelles exp&eacute;rimentations d&eacute;mocratiques. Intitul&eacute;e &ldquo;CivicTech et innovations d&eacute;mocratiques : un premier bilan&rdquo;,...","","2017-05-10 08:53:59","2017-05-10 08:53:59","2017-05-10 08:53:59","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\77DMEE3W\evenement-civic-tech-et-innovations-democratiques.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KPHP5XFI","webpage","","","[Offre d'emploi - Candidatures closes] L'incubateur d'innovations démocratiques recrute son responsable !","Démocratie Ouverte","","","","http://democratieouverte.org/blog/offre-d-emploi-l-incubateur-d-innovations-democratiques-recrute-son-responsable","CANDIDATURES CLOSES Pr&eacute;sentation de D&eacute;mocratie Ouverte D&eacute;mocratie Ouverte (association loi 1901) est un collectif citoyen ind&eacute;pendant et non-partisan, d&eacute;di&eacute; &agrave; l&rsquo;&eacute;mergence d&rsquo;une...","","2017-05-10 08:55:05","2017-05-10 08:55:05","2017-05-10 08:55:05","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\CAAEI7JE\offre-d-emploi-l-incubateur-d-innovations-democratiques-recrute-son-responsable.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IW9FWKX4","webpage","","","Bientôt une fondation pour l'innovation démocratique","Démocratie Ouverte","","","","http://democratie-ouverte.cap-collectif.com/blog/bientot-une-fondation-pour-l-innovation-democratique","Afin de parvenir &agrave; suivre dans les meilleures conditions le foisonnement de projets d&rsquo;innovation d&eacute;mocratique que conna&icirc;t la France actuellement, D&eacute;mocratie Ouverte envisage de faire &eacute;voluer son statut d&rsquo;association...","","2017-05-10 08:56:31","2017-05-10 08:56:31","2017-05-10 08:56:31","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\HSBK5MD8\bientot-une-fondation-pour-l-innovation-democratique.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UKAIED8N","webpage","","Valnier, Julien","Comment les «civic-tech» réinventent la vie politique française - 20 Minutes s'intéresse à l'économie collaborative","20minutes.fr","","","","http://www.20minutes.fr/magazine/economie-collaborative/perspectives/comment-les-civic-tech-reinventent-la-vie-politique-francaise-266568/","Voxe, LaPrimaire, Fluicity...ces applications qui tentent de réinventer notre démocratie ne sont que le début d'un changement de paradigme, assurent les","","2017-05-10 09:27:07","2017-05-10 09:27:07","2017-05-10 09:27:07","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\J687KE4N\comment-les-civic-tech-reinventent-la-vie-politique-francaise-266568.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQ3F7SSJ","webpage","2016","","L'association Démocratie ouverte lance un incubateur pour les ""civic tech""","LEntreprise.com","","","","http://lentreprise.lexpress.fr/actualites/1/actualites/l-association-democratie-ouverte-lance-un-incubateur-pour-les-civic-tech_1857635.html","Paris, 6 déc 2016 - L'association Démocratie ouverte, collectif d'acteurs engagés dans la participation citoyenne via le recours aux nouvelles technologies, a annoncé mardi le lancement d'un ""incubateur de l'innovation démocratique"" pour accompagner les ""civic tech"" françaises.","2016-12-06","2017-05-10 09:27:44","2017-05-17 07:43:04","2017-05-10 09:27:44","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\9DJX38V3\l-association-democratie-ouverte-lance-un-incubateur-pour-les-civic-tech_1857635.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PKRBMHCH","journalArticle","","Fourniau, Jean-micheL; Francois, Bastien","OSONS LE BIG BANG DÉMOCRATIQUE","","","","","http://www.fondation-nicolas-hulot.org/sites/default/files/osons_le-big_bang3.pdf","","","2017-05-14 07:31:25","2017-05-14 07:31:25","2017-05-14 07:31:25","","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\9QU5GB9T\Fourniau et Francois - OSONS LE BIG BANG DÉMOCRATIQUE.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GFAVQ6MQ","journalArticle","2016","Merchier, Maurice","Vers la transdémocratie?","Le Débat","","","","http://www.cairn.info/revue-le-debat-2016-5-page-55.html","","2016","2017-05-14 08:24:10","2017-05-14 08:24:10","2017-05-14 08:24:10","55–66","","5","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\RZZK9ABI\revue-le-debat-2016-5-page-55.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F3NU3EC8","bookSection","2017","Vedel, Thierry","Chapitre 5-L’internet et la démocratie: une liaison difficile","La démocratie de l’entre-soi","","","","http://www.cairn.info/la-democratie-de-l-entre-soi--9782724620504-page-73.htm","","2017","2017-05-14 08:29:44","2017-05-14 08:29:44","2017-05-14 08:29:44","73–88","","","","","","Chapitre 5-L’internet et la démocratie","","","","","Presses de Sciences Po (PFNSP)","","","","","","","Google Scholar","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\CM8X9GPQ\la-democratie-de-l-entre-soi--9782724620504-page-73.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJRZS697","journalArticle","2016","Fardeau, Jean-Marie","Le rôle de la société civile","Revue Projet","","0033-0884","","http://www.cairn.info/resume.php?ID_ARTICLE=PRO_354_0068","","2016-11-10","2017-05-14 08:29:52","2017-05-14 08:29:52","2017-05-14 08:29:52","68-72","","354","","","","","","","","","","","fr","","","","","Cairn.info","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\V32Q4GUA\revue-projet-2016-5-page-68.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZBEI3JVQ","journalArticle","2017","Carlino, Vincent; Mabi, Clément","Mobilisation","","","","","https://hal.univ-lorraine.fr/hal-01501965/document","","2017","2017-05-14 08:34:11","2017-05-14 08:34:11","2017-05-14 08:34:11","","","","","","","","","","","","","","","","","","","Google Scholar","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\22GU99N4\Carlino et Mabi - 2017 - Mobilisation.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3EPEFS4U","webpage","2016","","Loïc Blondiaux : ""les civic tech ont un fort potentiel de transformation démocratique""","France Culture","","","","https://www.franceculture.fr/politique/loic-blondiaux","Pour le professeur de science politique à l’Université Paris I Panthéon-Sorbonne, les technologies et innovations au service de la démocratie ont un fort potentiel de transformation. Mais leur effet réel reste encore limité.","2016-05-20","2017-05-15 17:08:52","2017-05-15 17:08:52","2017-05-15 17:08:36","","","","","","","Loïc Blondiaux","","","","","","","","","","","","","","","","","https://www.franceculture.fr/politique/loic-blondiaux","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5QWW2JPF","webpage","2016","","Le mouvement des civic-tech : révolution démocratique ou promesse excessive?","Libération.fr","","","","http://www.liberation.fr/evenements-libe/2016/05/18/le-mouvement-des-civic-tech-revolution-democratique-ou-promesse-excessive_1453508","Loïc Blondiaux, professeur de science politique à l’Université Paris I Panthéon-Sorbonne, questionne la pertinence des plate-formes de démocratie collaborative. Tribune.","2016-05-18","2017-05-15 17:09:29","2017-05-15 17:09:29","2017-05-15 17:09:29","","","","","","","Le mouvement des civic-tech","","","","","","","","","","","","","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\HH9E5G2B\le-mouvement-des-civic-tech-revolution-democratique-ou-promesse-excessive_1453508.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FHSBHJ4S","webpage","","","Regards Citoyens","RegardsCitoyens.org","","","","http://www.RegardsCitoyens.org","Transparence de la vie politique et Open Data","","2017-05-17 07:01:15","2017-05-17 07:01:15","2017-05-17 07:01:15","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\GF47N9WK\qui-sommes-nous.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9SGKM2H8","blogPost","2016","","CivicTechno.fr : pourquoi ? Pour qui ? Par qui ?","Civic Tech","","","","http://civictechno.fr/a-propos/","Ce site a pour ambition de valoriser et de fédérer les acteurs CivicTech et du renouveau démocratique en relayant l'actualité du secteur, réalisant des interviews des parties prenantes ou en leur ouvrant des tribunes libres. L’auteur partage également ses réflexions sur le blog.","2016-01-10","2017-05-17 07:30:28","2017-05-17 07:30:28","2017-05-17 07:30:28","","","","","","","CivicTechno.fr","","","","","","","","","","","","","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\8TFT2E56\a-propos.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VMW5ZFMC","webpage","","","Comment les Civic Tech réinventent la démocratie à l'ère d'internet","La Tribune","","","","http://www.latribune.fr/technos-medias/civic-tech-comment-la-technologie-redonne-du-pouvoir-aux-citoyens-573318.html","À l'approche de l'élection présidentielle de 2017, les Civic Tech, ces plateformes citoyennes désirant changer la pratique de la démocratie grâce aux nouvelles technologies, prennent de l'ampleur.","","2017-05-17 09:09:39","2017-05-17 09:09:39","2017-05-17 09:09:39","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\DFPSETPU\civic-tech-comment-la-technologie-redonne-du-pouvoir-aux-citoyens-573318.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FN8QH9DW","newspaperArticle","2010","Bastin, Gilles","""La Démocratie Internet. Promesses et limites"", de Dominique Cardon et ""Médiactivistes"", de Dominique Cardon et Fabien Granjon : l'utopie Internet","Le Monde.fr","","1950-6244","","http://www.lemonde.fr/livres/article/2010/09/16/la-democratie-internet-promesses-et-limites-de-dominique-cardon-et-mediactivistes-de-dominique-cardon-et-fabien-granjon_1411864_3260.html","Lieu d'expérimentation voire d'émancipation, la Toile est aussi un laboratoire politique.","2010-09-16","2017-05-17 09:24:59","2017-05-17 09:24:59","2017-05-17 09:24:59","","","","","","","""La Démocratie Internet. Promesses et limites"", de Dominique Cardon et ""Médiactivistes"", de Dominique Cardon et Fabien Granjon","","","","","","","fr","","","","","Le Monde","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\CCC7ZHU6\la-democratie-internet-promesses-et-limites-de-dominique-cardon-et-mediactivistes-de-dominique-.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BU4IIMCF","webpage","","","Citoyen hackeur","","","","","http://www.laviedesidees.fr/Citoyen-hackeur.html","Pour accroître la participation citoyenne et la réactivité politique, de nouvelles civic tech revendiquent aujourd'hui de « hacker » la démocratie. Au (...)","","2017-05-17 09:34:48","2017-05-17 09:34:48","2017-05-17 09:34:48","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\7HNTPEM5\Citoyen-hackeur.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2MQR3UER","webpage","","","Paris accueille le premier incubateur pour les ""Civic Tech""","La Tribune","","","","http://www.latribune.fr/technos-medias/internet/paris-accueille-le-premier-incubateur-pour-les-civic-tech-622616.html","En parallèle du sommet mondial du Partenariat pour un gouvernement ouvert (PGO), qui se tient à Paris du 7 au 9 décembre, le collectif Démocratie ouverte lance à Paris le premier incubateur français dédié à la Civic Tech. Avec l’objectif de faire émerger de nouveaux outils numériques capables de mieux impliquer les citoyens dans la vie démocratique.","","2017-05-23 18:09:50","2017-05-23 18:09:50","2017-05-23 18:09:50","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\NWCRK2E7\paris-accueille-le-premier-incubateur-pour-les-civic-tech-622616.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9H75ABXJ","webpage","2017","","«Civic tech», la lutte contre la corruption à l'heure d'Internet","RFI","","","","http://www.rfi.fr/hebdo/20170217-civic-tech-lutte-corruption-citoyen-technologies-projets","Utiliser la technologie pour plus de transparence politique et mieux lutter contre la corruption, c&rsquo;est le principe du ph&eacute;nom&egrave;ne &laquo;civic tech&raquo;. En mettant &agrave; contribution des citoyens, de nouveaux outils 2.0 se...","2017-02-17","2017-05-23 18:59:20","2017-05-23 18:59:20","2017-05-23 18:59:20","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\SX4XE8D8\20170217-civic-tech-lutte-corruption-citoyen-technologies-projets.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BWNKUHF8","webpage","2015","","Tocqueville: la face cachée d'un prophète","LExpress.fr","","","","http://www.lexpress.fr/culture/livre/tocqueville-la-face-cachee-d-un-prophete_1650795.html","Alexis de Tocqueville, qui devint célèbre à 30 ans, n'avait rien d'un académicien austère et compassé. Amoureux passionné et voyageur infatigable, il a partagé la vie des Indiens et dénoncé, au péril de sa vie, toutes les atteintes à la liberté humaine.","2015-02-17","2017-05-23 18:49:24","2017-05-23 18:49:24","2017-05-23 18:49:24","","","","","","","Tocqueville","","","","","","","","","","","","","","","","C:\Users\Timon\AppData\Roaming\Zotero\Zotero\Profiles\3j01eg8p.default\zotero\storage\HIMZEWHA\tocqueville-la-face-cachee-d-un-prophete_1650795.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
